Técnica,param1,param2,param3,Accuracy,F1 (weighted)
RF,100,10,5,0.6823,0.6934
RF,100,10,10,0.6788,0.6911
RF,100,20,5,0.7049,0.7097
RF,100,20,10,0.7037,0.7102
RF,200,10,5,0.6819,0.6933
RF,200,10,10,0.6797,0.6915
RF,200,20,5,0.7065,0.711
RF,200,20,10,0.7036,0.71
SVM,1,rbf,scale,0.661,0.6744
SVM,1,rbf,auto,0.6611,0.6745
SVM,1,poly,scale,0.6717,0.6814
SVM,1,poly,auto,0.6717,0.6814
SVM,10,rbf,scale,0.6497,0.6651
SVM,10,rbf,auto,0.6499,0.6653
SVM,10,poly,scale,0.6636,0.6751
SVM,10,poly,auto,0.6636,0.6752
MLP,"(100, 50)",relu,0.001,0.7577,0.7081
MLP,"(100, 50)",relu,0.01,0.7581,0.707
MLP,"(100, 50)",tanh,0.001,0.7582,0.7168
MLP,"(100, 50)",tanh,0.01,0.7566,0.7135
MLP,"(200, 100)",relu,0.001,0.7593,0.7123
MLP,"(200, 100)",relu,0.01,0.7569,0.7012
MLP,"(200, 100)",tanh,0.001,0.7589,0.7125
MLP,"(200, 100)",tanh,0.01,0.7565,0.7099
